#Sample description: chromixs
#Sample: chromixs  c= 0 mg/ml  Code: chromixs
 4.304069e-002  2.002172e-002  1.577550e-004
 4.317134e-002  2.032187e-002  1.567584e-004
 4.330199e-002  2.004669e-002  1.557495e-004
 4.343263e-002  1.973485e-002  1.568363e-004
 4.356328e-002  1.982959e-002  1.549728e-004
 4.369393e-002  1.980979e-002  1.560781e-004
 4.382457e-002  1.993342e-002  1.559294e-004
 4.395522e-002  1.970094e-002  1.538030e-004
 4.408586e-002  1.971066e-002  1.558008e-004
 4.421651e-002  1.935915e-002  1.544329e-004
 4.434716e-002  1.963756e-002  1.541810e-004
 4.447780e-002  1.984483e-002  1.555767e-004
 4.460845e-002  1.948111e-002  1.527951e-004
 4.473910e-002  1.958896e-002  1.546454e-004
 4.486974e-002  1.935484e-002  1.535698e-004
 4.500039e-002  1.949156e-002  1.530909e-004
 4.513104e-002  1.911909e-002  1.542053e-004
 4.526168e-002  1.927261e-002  1.522952e-004
 4.539233e-002  1.930983e-002  1.528509e-004
 4.552298e-002  1.943496e-002  1.532936e-004
 4.565362e-002  1.885307e-002  1.516862e-004
 4.578427e-002  1.898572e-002  1.532638e-004
 4.591491e-002  1.872188e-002  1.515284e-004
 4.604556e-002  1.855050e-002  1.503771e-004
 4.617621e-002  1.877534e-002  1.526929e-004
 4.630685e-002  1.848652e-002  1.527665e-004
 4.643750e-002  1.890519e-002  1.555859e-004
 4.656815e-002  1.852603e-002  1.553592e-004
 4.669879e-002  1.848237e-002  1.553357e-004
 4.682944e-002  1.888210e-002  1.572664e-004
 4.696009e-002  1.838900e-002  1.563081e-004
 4.709073e-002  1.827766e-002  1.573208e-004
 4.722138e-002  1.830505e-002  1.578171e-004
 4.735202e-002  1.817469e-002  1.561406e-004
 4.748267e-002  1.818647e-002  1.585061e-004
 4.761332e-002  1.816399e-002  1.576721e-004
 4.774396e-002  1.819887e-002  1.585919e-004
 4.787461e-002  1.828702e-002  1.598831e-004
 4.800526e-002  1.776941e-002  1.574704e-004
 4.813590e-002  1.795501e-002  1.589791e-004
 4.826655e-002  1.788254e-002  1.585396e-004
 4.839720e-002  1.778517e-002  1.584929e-004
 4.852784e-002  1.793947e-002  1.603115e-004
 4.865849e-002  1.774124e-002  1.580979e-004
 4.878914e-002  1.771694e-002  1.602869e-004
 4.891978e-002  1.760053e-002  1.592203e-004
 4.905043e-002  1.767204e-002  1.594762e-004
 4.918107e-002  1.763375e-002  1.610294e-004
 4.931172e-002  1.735546e-002  1.591826e-004
 4.944237e-002  1.752462e-002  1.598865e-004
 4.957301e-002  1.754664e-002  1.601838e-004
 4.970366e-002  1.738015e-002  1.600560e-004
 4.983431e-002  1.736556e-002  1.605175e-004
 4.996495e-002  1.737729e-002  1.609612e-004
 5.009560e-002  1.721188e-002  1.603752e-004
 5.022625e-002  1.720841e-002  1.607860e-004
 5.035689e-002  1.711604e-002  1.594461e-004
 5.048754e-002  1.695077e-002  1.607727e-004
 5.061819e-002  1.711235e-002  1.615617e-004
 5.074883e-002  1.718937e-002  1.611424e-004
 5.087948e-002  1.702246e-002  1.609706e-004
 5.101013e-002  1.678338e-002  1.604249e-004
 5.114077e-002  1.704893e-002  1.611817e-004
